17-Jun-2007 (25),243.6,6/17/2007,
24-Jun-2007 (26),263.19,6/24/2007,
01-Jul-2007 (27),269.89,7/1/2007,
08-Jul-2007 (28),252.88,7/8/2007,
15-Jul-2007 (29),303.46,7/15/2007,
22-Jul-2007 (30),286.29,7/22/2007,
29-Jul-2007 (31),292.28,7/29/2007,
05-Aug-2007 (32),288.72,8/5/2007,
12-Aug-2007 (33),285.7,8/12/2007,
19-Aug-2007 (34),286.01,8/19/2007,
26-Aug-2007 (35),308.59,8/26/2007,
02-Sep-2007 (36),320.57,9/2/2007,
09-Sep-2007 (37),312.67,9/9/2007,
16-Sep-2007 (38),278.58,9/16/2007,
23-Sep-2007 (39),303.06,9/23/2007,
30-Sep-2007 (40),327.22,9/30/2007,
07-Oct-2007 (41),315.14,10/7/2007,
14-Oct-2007 (42),254.39,10/14/2007,
21-Oct-2007 (43),258.73,10/21/2007,
28-Oct-2007 (44),272.35,10/28/2007,
04-Nov-2007 (45),234.26,11/4/2007,
11-Nov-2007 (46),259.35,11/11/2007,
18-Nov-2007 (47),272.67,11/18/2007,
25-Nov-2007 (48),269.03,11/25/2007,
02-Dec-2007 (49),291.72,12/2/2007,
09-Dec-2007 (50),275.29,12/9/2007,
16-Dec-2007 (51),276.38,12/16/2007,
23-Dec-2007 (52),274.68,12/23/2007,
30-Dec-2007 (1),273.7,12/30/2007,
06-Jan-2008 (2),271.84,1/6/2008,
13-Jan-2008 (3),267.63,1/13/2008,
20-Jan-2008 (4),260.45,1/20/2008,
27-Jan-2008 (5),301.67,1/27/2008,
03-Feb-2008 (6),281.6,2/3/2008,
10-Feb-2008 (7),286.82,2/10/2008,
17-Feb-2008 (8),292.87,2/17/2008,
24-Feb-2008 (9),289.84,2/24/2008,
02-Mar-2008 (10),237.74,3/2/2008,
09-Mar-2008 (11),268.69,3/9/2008,
16-Mar-2008 (12),261.46,3/16/2008,
23-Mar-2008 (13),240.68,3/23/2008,
30-Mar-2008 (14),231.89,3/30/2008,
06-Apr-2008 (15),212.18,4/6/2008,
13-Apr-2008 (16),218.16,4/13/2008,
20-Apr-2008 (17),219.96,4/20/2008,
27-Apr-2008 (18),210.24,4/27/2008,
04-May-2008 (19),210.17,5/4/2008,
11-May-2008 (20),228.25,5/11/2008,
18-May-2008 (21),227.32,5/18/2008,
25-May-2008 (22),218.16,5/25/2008,
01-Jun-2008 (23),228.92,6/1/2008,
08-Jun-2008 (24),231.79,6/8/2008,
15-Jun-2008 (25),231.19,6/15/2008,
22-Jun-2008 (26),214.32,6/22/2008,
29-Jun-2008 (27),233.76,6/29/2008,
06-Jul-2008 (28),231.12,7/6/2008,
13-Jul-2008 (29),224.72,7/13/2008,
20-Jul-2008 (30),216.19,7/20/2008,
27-Jul-2008 (31),216.75,7/27/2008,
03-Aug-2008 (32),211.68,8/3/2008,
10-Aug-2008 (33),209.41,8/10/2008,
17-Aug-2008 (34),219.99,8/17/2008,
24-Aug-2008 (35),205.17,8/24/2008,
31-Aug-2008 (36),195.25,8/31/2008,
07-Sep-2008 (37),212.45,9/7/2008,
14-Sep-2008 (38),232.21,9/14/2008,
21-Sep-2008 (39),236.31,9/21/2008,
28-Sep-2008 (40),219.91,9/28/2008,
05-Oct-2008 (41),193.84,10/5/2008,
12-Oct-2008 (42),201.3,10/12/2008,
19-Oct-2008 (43),198.4,10/19/2008,
26-Oct-2008 (44),170.74,10/26/2008,
02-Nov-2008 (45),206.61,11/2/2008,
09-Nov-2008 (46),188.68,11/9/2008,
16-Nov-2008 (47),197.64,11/16/2008,
23-Nov-2008 (48),193.16,11/23/2008,
30-Nov-2008 (49),184.74,11/30/2008,
07-Dec-2008 (50),188.88,12/7/2008,
14-Dec-2008 (51),224.85,12/14/2008,
21-Dec-2008 (52),186.91,12/21/2008,
28-Dec-2008 (1),192.65,12/28/2008,
04-Jan-2009 (2),200.88,1/4/2009,
11-Jan-2009 (3),198.88,1/11/2009,
18-Jan-2009 (4),227.61,1/18/2009,
25-Jan-2009 (5),214.15,1/25/2009,
01-Feb-2009 (6),191.91,2/1/2009,
08-Feb-2009 (7),208.17,2/8/2009,
15-Feb-2009 (8),204.2,2/15/2009,
22-Feb-2009 (9),200.61,2/22/2009,
01-Mar-2009 (10),208.56,3/1/2009,
08-Mar-2009 (11),191.74,3/8/2009,
15-Mar-2009 (12),222.07,3/15/2009,
